codgeo,x,y,libgeo
01234,910896.045,6526053.83,Marignieu
01235,860418.113,6552775.64,Marlieux
01236,858735.059,6584381.317,Marsonnas
01237,901477.68,6570294.785,Martignat
01238,841669.775,6536058.055,Massieux
01239,914792.87,6521224.7,Massignieu-de-Rives
01240,895574.563,6576082.796,Matafelon-Granges
01241,879972.865,6574338.32,Meillonnas
01242,888755.493,6554647.209,Mérignat
01243,836024.032,6551249.104,Messimy-sur-Saône
01244,870801.761,6536462.768,Meximieux
01245,883546.563,6563060.117,Bohas-Meyriat-Rignat
01246,857771.973,6573440.397,Mézériat
01247,931237.665,6589023.551,Mijoux
01248,849172.667,6534734.607,Mionnay
01249,850618.956,6529085.107,Miribel
01250,840182.838,6543464.295,Misérieux
01252,840544.482,6562147.344,Mogneneins
01254,875885.483,6565714.334,Montagnat
01255,891409.348,6525201.25,Montagnieu
01257,915218.989,6567558.266,Montanges
01258,839333.593,6556741.639,Montceaux
01259,862702.365,6571054.192,Montcet
01260,860513.946,6538693.711,Le Montellier
01261,850674.277,6542110.865,Monthieux
01262,856601.743,6534401.845,Montluel
01263,836026.785,6555457.975,Montmerle-sur-Saône
01264,863300.807,6567400.582,Montracol
01265,900174.799,6567684.304,Montréal-la-Cluse
01266,862491.897,6582761.845,Montrevel-en-Bresse
01267,893924.176,6567953.585,Nurieux-Volognat
01268,907225.125,6508242.529,Murs-et-Gélignieux
01269,901648.309,6564981.405,Nantua
01272,855029.31,6563853.795,Neuville-les-Dames
01273,883357.437,6557352.877,Neuville-sur-Ain
01274,903576.321,6562884.007,Les Neyrolles
01275,849926.77,6526154.779,Neyron
01276,859903.374,6526795.523,Niévroz
01277,890280.392,6547463.335,Nivollet-Montgriffon
01279,891373.779,6543539.914,Oncieu
01280,897130.191,6529218.975,Ordonnaz
01281,938173.463,6579931.653,Ornex
01282,897590.789,6555165.71,Outriaz
01283,904277.457,6576887.735,Oyonnax
01284,847330.47,6589295.76,Ozan
01285,841652.484,6537079.983,Parcieux
